genename	fold-change	P.Value	name
SAP18	1.317	0.010204368	Histone deacetylase complex subunit SAP18 (18 kDa Sin3-associated polypeptide) (2HOR0202) (Cell growth-inhibiting gene 38 protein) (Sin3-associated polypeptide p18)
ARPC3	0.792	0.010215664	Actin-related protein 2/3 complex subunit 3 (Arp2/3 complex 21 kDa subunit) (p21-ARC)
PSME3	0.787	0.010235048	Proteasome activator complex subunit 3 (11S regulator complex subunit gamma) (REG-gamma) (Activator of multicatalytic protease subunit 3) (Ki nuclear autoantigen) (Proteasome activator 28 subunit gamma) (PA28g) (PA28gamma)
KIF1A	0.719	0.010407956	Kinesin family member 1A
RPS4X	1.349	0.010492799	"Small ribosomal subunit protein eS4, X isoform (40S ribosomal protein S4) (SCR10) (Single copy abundant mRNA protein)"
TUBB2B	0.707	0.010536871	Tubulin beta-2B chain
SEC16A	1.377	0.011706494	Protein transport protein Sec16A (SEC16 homolog A) (p250)
LYPLA2	1.303	0.010869855	Acyl-protein thioesterase 2 (APT-2) (EC 3.1.2.-) (Lysophospholipase II) (LPL-II) (LysoPLA II) (Palmitoyl-protein hydrolase) (EC 3.1.2.22)
ARHGEF2	0.789	0.012548097	Rho guanine nucleotide exchange factor 2 (Guanine nucleotide exchange factor H1)
NADK2	1.295	0.011861203	"NAD kinase 2, mitochondrial (EC 2.7.1.23) (Mitochondrial NAD kinase) (NAD kinase domain-containing protein 1, mitochondrial)"
CALU	0.619	0.011034991	Calumenin (Crocalbin) (IEF SSP 9302)
BCAT1	0.687	0.011058455	"Branched-chain-amino-acid aminotransferase, cytosolic (BCAT(c)) (EC 2.6.1.42) (Protein ECA39)"
GLUL	1.277	0.011294022	Glutamine synthetase (EC 6.3.1.2)
ACTN1	0.639	0.011526164	Alpha-actinin-1 (Alpha-actinin cytoskeletal isoform) (F-actin cross-linking protein) (Non-muscle alpha-actinin-1)
LSM2	0.711	0.011908511	U6 snRNA-associated Sm-like protein LSm2 (Protein G7b) (Small nuclear ribonuclear protein D homolog) (snRNP core Sm-like protein Sm-x5)
KTN1	0.622	0.011671371	Kinectin (CG-1 antigen) (Kinesin receptor)
NLN	1.269	0.013067397	"Neurolysin, mitochondrial (EC 3.4.24.16) (Angiotensin-binding protein) (Microsomal endopeptidase) (MEP) (Mitochondrial oligopeptidase M) (Neurotensin endopeptidase)"
TXN	0.745	0.012137767	Thioredoxin (Trx) (ATL-derived factor) (ADF) (Surface-associated sulphydryl protein) (SASP) (allergen Hom s Trx)
CPSF1	0.701	0.0120146	Cleavage and polyadenylation specificity factor subunit 1 (Cleavage and polyadenylation specificity factor 160 kDa subunit) (CPSF 160 kDa subunit)
GDAP1L1	0.718	0.012120135	Ganglioside-induced differentiation-associated protein 1-like 1 (GDAP1-L1)
RBM12B	0.768	0.013538083	RNA-binding protein 12B
LRP1	0.577	0.012654549	Prolow-density lipoprotein receptor-related protein 1 (LRP-1) (Alpha-2-macroglobulin receptor) (A2MR) (Apolipoprotein E receptor) (APOER) (CD antigen CD91) [Cleaved into: Low-density lipoprotein receptor-related protein 1 85 kDa subunit (LRP-85); Low-density lipoprotein receptor-related protein 1 515 kDa subunit (LRP-515); Low-density lipoprotein receptor-related protein 1 intracellular domain (LRPICD)]
HSP90AB2P	0.578	0.014016299	Putative heat shock protein HSP 90-beta 2 (Heat shock protein 90-beta b) (Heat shock protein 90Bb)
JPT2	1.274	0.012659303	"Jupiter microtubule associated homolog 2 (cDNA FLJ50401, highly similar to Hematological and neurological expressed1-like protein) (cDNA, FLJ79413, highly similar to Hematological and neurological expressed 1-like protein)"
FABP7	1.322	0.012672934	"Fatty acid-binding protein, brain (Brain lipid-binding protein) (BLBP) (Brain-type fatty acid-binding protein) (B-FABP) (Fatty acid-binding protein 7) (Mammary-derived growth inhibitor related)"
DCTN3	1.238	0.013057809	Dynactin subunit 3 (Dynactin complex subunit 22 kDa subunit) (p22)
ELOB	1.289	0.013185189	Elongin-B (EloB) (Elongin 18 kDa subunit) (RNA polymerase II transcription factor SIII subunit B) (SIII p18) (Transcription elongation factor B polypeptide 2)
SYNE2	0.656	0.013236179	Nesprin-2 (KASH domain-containing protein 2) (KASH2) (Nuclear envelope spectrin repeat protein 2) (Nucleus and actin connecting element protein) (Protein NUANCE) (Synaptic nuclear envelope protein 2) (Syne-2)
DLG3	1.234	0.014803378	"Discs large MAGUK scaffold protein 3 (Discs, large homolog 3 (Neuroendocrine-dlg, Drosophila), isoform CRA_b)"
CSNK2A1	0.688	0.013633468	non-specific serine/threonine protein kinase (EC 2.7.11.1)
UBE2E3	1.428	0.015567862	Ubiquitin conjugating enzyme E2 E3
VPS45	0.747	0.014931942	Vacuolar protein sorting 45 homolog
CRNKL1	1.255	0.015085718	Crooked neck pre-mRNA splicing factor 1
CETN2	0.788	0.01585345	Centrin-2 (Caltractin isoform 1)
MSI2	0.752	0.014062996	RNA-binding protein Musashi homolog 2 (Musashi-2)
PSMC4	0.633	0.014091414	26S proteasome regulatory subunit 6B (26S proteasome AAA-ATPase subunit RPT3) (MB67-interacting protein) (MIP224) (Proteasome 26S subunit ATPase 4) (Tat-binding protein 7) (TBP-7)
ATP6V1E1	0.791	0.014482623	V-type proton ATPase subunit E 1 (V-ATPase subunit E 1) (V-ATPase 31 kDa subunit) (p31) (Vacuolar proton pump subunit E 1)
CHCHD2	1.396	0.015910053	Coiled-coil-helix-coiled-coil-helix domain-containing protein 2 (Aging-associated gene 10 protein) (HCV NS2 trans-regulated protein) (NS2TP)
THUMPD1	1.293	0.015949653	THUMP domain-containing protein 1
TSG101	0.762	0.014705665	Tumor susceptibility 101
RPL11	1.217	0.014942148	Large ribosomal subunit protein uL5 (60S ribosomal protein L11) (CLL-associated antigen KW-12)
LBR	1.292	0.015004434	Delta(14)-sterol reductase LBR (EC 1.3.1.70) (3-beta-hydroxysterol Delta (14)-reductase) (C-14 sterol reductase) (Integral nuclear envelope inner membrane protein) (Lamin-B receptor) (Sterol C14-reductase)
GSPT1	0.573	0.015030367	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A (Eukaryotic peptide chain release factor subunit 3a) (eRF3a) (EC 3.6.5.-) (G1 to S phase transition protein 1 homolog)
ANP32E	0.679	0.01514855	Acidic leucine-rich nuclear phosphoprotein 32 family member E (LANP-like protein) (LANP-L)
TUBA1A	0.707	0.015283358	Tubulin alpha-1A chain (EC 3.6.5.-) (Alpha-tubulin 3) (Tubulin B-alpha-1) (Tubulin alpha-3 chain) [Cleaved into: Detyrosinated tubulin alpha-1A chain]
CMAS	1.27	0.015398419	N-acylneuraminate cytidylyltransferase (EC 2.7.7.43) (CMP-N-acetylneuraminic acid synthase) (CMP-NeuNAc synthase)
NAP1L1	0.693	0.015527537	Nucleosome assembly protein 1 like 1
FEN1	0.783	0.015544911	Flap endonuclease 1 (FEN-1) (EC 3.1.-.-) (DNase IV) (Flap structure-specific endonuclease 1) (Maturation factor 1) (MF1) (hFEN-1)
GSTP1	0.667	0.015900208	Glutathione S-transferase P (EC 2.5.1.18) (GST class-pi) (GSTP1-1)
SCRIB	0.719	0.017676071	Protein scribble homolog
MAT2B	1.24	0.016100936	Methionine adenosyltransferase 2 subunit beta (Methionine adenosyltransferase II beta) (MAT II beta) (Putative dTDP-4-keto-6-deoxy-D-glucose 4-reductase)
EIF5A	0.697	0.016261833	Eukaryotic translation initiation factor 5A-1 (eIF-5A-1) (eIF-5A1) (Eukaryotic initiation factor 5A isoform 1) (eIF-5A) (Rev-binding factor) (eIF-4D)
SDHA	0.779	0.017836765	"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial (EC 1.3.5.1) (Flavoprotein subunit of complex II) (Fp)"
TIPRL	1.305	0.016282147	TIP41-like protein (Putative MAPK-activating protein PM10) (Type 2A-interacting protein) (TIP)
SRP72	0.726	0.016397243	Signal recognition particle subunit SRP72 (SRP72) (Signal recognition particle 72 kDa protein)
CYB5R3	0.753	0.016710254	NADH-cytochrome b5 reductase 3 (B5R) (Cytochrome b5 reductase) (EC 1.6.2.2) (Diaphorase-1)
ARL8B	1.288	0.016948391	ADP-ribosylation factor-like protein 8B (EC 3.6.5.2) (ADP-ribosylation factor-like protein 10C) (Novel small G protein indispensable for equal chromosome segregation 1)
GMFB	1.24	0.01702642	Glia maturation factor beta (GMF-beta)
TOMM70	0.589	0.017276365	Mitochondrial import receptor subunit TOM70 (Mitochondrial precursor proteins import receptor) (Translocase of outer membrane 70 kDa subunit) (Translocase of outer mitochondrial membrane protein 70)
EEF1E1	0.773	0.01909329	Eukaryotic translation elongation factor 1 epsilon-1 (Aminoacyl tRNA synthetase complex-interacting multifunctional protein 3) (Elongation factor p18) (Multisynthase complex auxiliary component p18)
CRYZ	0.562	0.017392828	Quinone oxidoreductase (EC 1.6.5.5) (NADPH:quinone reductase) (Zeta-crystallin)
TSNAX	0.657	0.017829818	Translin-associated protein X (Translin-associated factor X)
HMGA1	1.373	0.019627377	High mobility group protein HMG-I/HMG-Y (HMG-I(Y)) (High mobility group AT-hook protein 1) (High mobility group protein A1) (High mobility group protein R)
NCBP1	0.566	0.017930059	Nuclear cap-binding protein subunit 1 (80 kDa nuclear cap-binding protein) (CBP80) (NCBP 80 kDa subunit)
DYNLRB1	0.785	0.018022526	"Dynein light chain roadblock-type 1 (Bithoraxoid-like protein) (BLP) (Dynein light chain 2A, cytoplasmic) (Dynein-associated protein Km23) (Roadblock domain-containing protein 1)"
ATP6V1G1	1.262	0.020129283	V-type proton ATPase subunit G 1 (V-ATPase subunit G 1) (V-ATPase 13 kDa subunit 1) (Vacuolar proton pump subunit G 1) (Vacuolar proton pump subunit M16)
PRKAR2A	0.73	0.018328098	cAMP-dependent protein kinase type II-alpha regulatory subunit
MYH9	0.748	0.018373302	"Myosin-9 (Cellular myosin heavy chain, type A) (Myosin heavy chain 9) (Myosin heavy chain, non-muscle IIa) (Non-muscle myosin heavy chain A) (NMMHC-A) (Non-muscle myosin heavy chain IIa) (NMMHC II-a) (NMMHC-IIA)"
DSTN	1.438	0.021945291	Destrin (Actin-depolymerizing factor) (ADF)
MAPRE3	1.245	0.018541698	Microtubule-associated protein RP/EB family member 3 (EB1 protein family member 3) (EBF3) (End-binding protein 3) (EB3) (RP3)
HAGH	1.374	0.019328023	"Hydroxyacylglutathione hydrolase, mitochondrial (EC 3.1.2.6) (Glyoxalase II) (Glx II)"
H1-2	1.354	0.019060389	Histone H1.2 (Histone H1c) (Histone H1d) (Histone H1s-1)
RPS10	1.296	0.021526087	Small ribosomal subunit protein eS10 (40S ribosomal protein S10)
PREP	0.589	0.019638501	Prolyl endopeptidase (PE) (EC 3.4.21.26) (Post-proline cleaving enzyme)
PAM16	0.758	0.019738078	Coronin
RAB10	1.285	0.019815325	Ras-related protein Rab-10 (EC 3.6.5.2)
ELOC	1.22	0.019827518	Elongin-C
ANXA6	0.79	0.020024239	Annexin A6 (67 kDa calelectrin) (Annexin VI) (Annexin-6) (Calphobindin-II) (CPB-II) (Chromobindin-20) (Lipocortin VI) (Protein III) (p68) (p70)
MOB1A	1.474	0.022457605	MOB kinase activator 1A (Mob1 alpha) (Mob1A) (Mob1 homolog 1B) (Mps one binder kinase activator-like 1B)
CTPS2	0.766	0.022679698	CTP synthase 2 (EC 6.3.4.2) (CTP synthetase 2) (UTP--ammonia ligase 2)
TRIM2	0.561	0.020708553	Tripartite motif-containing protein 2 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRIM2) (RING finger protein 86) (RING-type E3 ubiquitin transferase TRIM2)
RDH11	1.218	0.020842577	Retinol dehydrogenase 11 (EC 1.1.1.300) (Androgen-regulated short-chain dehydrogenase/reductase 1) (HCV core-binding protein HCBP12) (Prostate short-chain dehydrogenase/reductase 1) (Retinal reductase 1) (RalR1) (Short chain dehydrogenase/reductase family 7C member 1)
RANBP6	0.719	0.023512608	Ran-binding protein 6 (RanBP6)
FADS2	0.646	0.021162545	Acyl-CoA 6-desaturase (EC 1.14.19.3) (Delta(6) fatty acid desaturase) (D6D) (Delta(6) desaturase) (Delta-6 desaturase) (Fatty acid desaturase 2)
SNRPF	1.292	0.021255465	Small nuclear ribonucleoprotein F (snRNP-F) (Sm protein F) (Sm-F) (SmF)
DCPS	1.26	0.023596754	m7GpppX diphosphatase (EC 3.6.1.59) (DCS-1) (Decapping scavenger enzyme) (Hint-related 7meGMP-directed hydrolase) (Histidine triad nucleotide-binding protein 5) (Histidine triad protein member 5) (HINT-5) (Scavenger mRNA-decapping enzyme DcpS)
EXOSC3	1.242	0.023625523	Exosome complex component RRP40 (Exosome component 3) (Ribosomal RNA-processing protein 40) (p10)
HDHD2	0.806	0.021500851	Haloacid dehalogenase-like hydrolase domain-containing protein 2
CYRIB	0.623	0.02169988	CYFIP-related Rac1 interactor B (L1)
RPL37A	1.314	0.021869398	Ribosomal protein L37a
AK1	0.674	0.021874213	Adenylate kinase isoenzyme 1 (AK 1) (EC 2.7.4.3) (EC 2.7.4.6) (ATP-AMP transphosphorylase 1) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase) (Myokinase)
UBR4	0.737	0.024223675	E3 ubiquitin-protein ligase UBR4 (EC 2.3.2.27) (600 kDa retinoblastoma protein-associated factor) (N-recognin-4) (RING-type E3 ubiquitin transferase UBR4) (Retinoblastoma-associated factor of 600 kDa) (RBAF600) (p600) (Zinc finger UBR1-type protein 1)
SNX1	1.34	0.022085859	Sorting nexin-1
MAP2K2	0.676	0.02212416	Dual specificity mitogen-activated protein kinase kinase 2 (MAP kinase kinase 2) (MAPKK 2) (EC 2.7.12.2) (ERK activator kinase 2) (MAPK/ERK kinase 2) (MEK 2)
EPB41L1	0.676	0.022685319	Erythrocyte membrane protein band 4.1 like 1
PABPC4	1.221	0.023314554	Polyadenylate-binding protein (PABP)
CREB1	1.269	0.025961189	Cyclic AMP-responsive element-binding protein 1 (CREB-1) (cAMP-responsive element-binding protein 1)
CAPN2	0.654	0.023909921	Calpain-2 catalytic subunit (EC 3.4.22.53) (Calcium-activated neutral proteinase 2) (CANP 2) (Calpain M-type) (Calpain large polypeptide L2) (Calpain-2 large subunit) (Millimolar-calpain) (M-calpain)
VPS26B	1.262	0.026532893	Vacuolar protein sorting-associated protein 26B (Vesicle protein sorting 26B)
COX5B	1.267	0.024344127	"Cytochrome c oxidase subunit 5B, mitochondrial (Cytochrome c oxidase polypeptide Vb)"
SRP9	1.406	0.025087949	Signal recognition particle 9 kDa protein (SRP9)
PLBD2	0.778	0.025463241	Putative phospholipase B-like 2 (EC 3.1.1.-) (76 kDa protein) (p76) (LAMA-like protein 2) (Lamina ancestor homolog 2) (Phospholipase B domain-containing protein 2) [Cleaved into: Putative phospholipase B-like 2 32 kDa form; Putative phospholipase B-like 2 45 kDa form]
EFL1	0.723	0.032108051	Elongation factor-like GTPase 1 (Elongation factor Tu GTP-binding domain-containing protein 1) (Elongation factor-like 1) (Protein FAM42A)
SNX12	1.23	0.027213863	Sorting nexin-12
BAZ1B	0.632	0.026092257	Tyrosine-protein kinase BAZ1B (EC 2.7.10.2) (Bromodomain adjacent to zinc finger domain protein 1B) (Williams syndrome transcription factor) (Williams-Beuren syndrome chromosomal region 10 protein) (Williams-Beuren syndrome chromosomal region 9 protein) (hWALp2)
NUDCD2	1.233	0.026253733	NudC domain-containing protein 2
PHF6	1.262	0.026561523	PHD finger protein 6 (PHD-like zinc finger protein)
UBTF	0.657	0.026581036	Upstream binding transcription factor
PPP6R3	0.724	0.029719012	Protein phosphatase 6 regulatory subunit 3
ESYT1	0.644	0.027037447	Extended synaptotagmin-1 (E-Syt1) (Membrane-bound C2 domain-containing protein)
NFASC	1.224	0.02716569	Neurofascin
IARS1	0.71	0.027402802	"Isoleucine--tRNA ligase, cytoplasmic (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IRS) (IleRS)"
COPE	0.596	0.027469132	Coatomer subunit epsilon (Epsilon-coat protein) (Epsilon-COP)
FLNB	0.785	0.027532995	Filamin-B (FLN-B) (ABP-278) (ABP-280 homolog) (Actin-binding-like protein) (Beta-filamin) (Filamin homolog 1) (Fh1) (Filamin-3) (Thyroid autoantigen) (Truncated actin-binding protein) (Truncated ABP)
GRIPAP1	1.318	0.030538081	GRIP1-associated protein 1 (GRASP-1) [Cleaved into: GRASP-1 C-terminal chain (30kDa C-terminus form)]
SYNCRIP	0.816	0.028136708	"Heterogeneous nuclear ribonucleoprotein Q (hnRNP Q) (Glycine- and tyrosine-rich RNA-binding protein) (GRY-RBP) (NS1-associated protein 1) (Synaptotagmin-binding, cytoplasmic RNA-interacting protein)"
DIABLO	0.694	0.028432061	"Diablo IAP-binding mitochondrial protein (Diablo homolog, mitochondrial) (Direct IAP-binding protein with low pI) (Second mitochondria-derived activator of caspase) (Smac) [Cleaved into: Diablo IAP-binding mitochondrial protein, cleaved form]"
ZMPSTE24	0.82	0.032133359	CAAX prenyl protease 1 homolog (EC 3.4.24.84) (Farnesylated proteins-converting enzyme 1) (FACE-1) (Prenyl protein-specific endoprotease 1) (Zinc metalloproteinase Ste24 homolog)
SEC31A	0.746	0.029281612	Protein transport protein Sec31A (SEC31-like protein 1) (SEC31-related protein A)
BCLAF1	1.233	0.029326172	Bcl-2-associated transcription factor 1 (Btf) (BCLAF1 and THRAP3 family member 1)
HADHA	0.674	0.02937273	enoyl-CoA hydratase (EC 4.2.1.17)
CAB39	0.675	0.029411877	Calcium-binding protein 39 (MO25alpha) (Protein Mo25)
CTPS1	0.64	0.029721376	CTP synthase (EC 6.3.4.2) (UTP--ammonia ligase)
SRSF2	1.235	0.029867939	Serine and arginine rich splicing factor 2
AASDHPPT	0.814	0.030091256	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase (EC 2.7.8.7) (4'-phosphopantetheinyl transferase) (Alpha-aminoadipic semialdehyde dehydrogenase-phosphopantetheinyl transferase) (AASD-PPT) (LYS5 ortholog)
MYO6	0.767	0.033804413	Unconventional myosin-VI (Unconventional myosin-6)
PBDC1	1.233	0.033841878	Protein PBDC1 (Polysaccharide biosynthesis domain-containing protein 1)
TUBB8	0.42	0.033945608	Tubulin beta-8 chain (Tubulin beta 8 class VIII)
RPL26L1	1.219	0.03075931	Ribosomal protein uL24-like (60S ribosomal protein L26-like 1) (Large ribosomal subunit protein uL24-like 1)
PHIP	1.228	0.034707062	PH-interacting protein (PHIP) (DDB1- and CUL4-associated factor 14) (IRS-1 PH domain-binding protein) (WD repeat-containing protein 11)
TBCA	1.265	0.031621639	Tubulin-specific chaperone A
GNAI1	1.234	0.031998309	Guanine nucleotide-binding protein G(i) subunit alpha-1 (Adenylate cyclase-inhibiting G alpha protein)
NAGK	0.704	0.032202763	N-acetyl-D-glucosamine kinase (N-acetylglucosamine kinase) (EC 2.7.1.59) (GlcNAc kinase) (Muramyl dipeptide kinase) (EC 2.7.1.-) (N-acetyl-D-mannosamine kinase) (EC 2.7.1.60)
PELP1	0.703	0.032596885	"Proline-, glutamic acid- and leucine-rich protein 1 (Modulator of non-genomic activity of estrogen receptor) (Transcription factor HMX3)"
USP24	1.255	0.037475011	Ubiquitin carboxyl-terminal hydrolase 24 (EC 3.4.19.12) (Deubiquitinating enzyme 24) (Ubiquitin thioesterase 24) (Ubiquitin-specific-processing protease 24)
LONP1	0.603	0.033679485	"Lon protease homolog, mitochondrial (EC 3.4.21.53) (Lon protease-like protein) (LONP) (Mitochondrial ATP-dependent protease Lon) (Serine protease 15)"
TXLNA	1.247	0.037501683	Alpha-taxilin
SKIC8	0.736	0.037594237	"Superkiller complex protein 8 (Ski8) (Meiotic recombination REC14 protein homolog) (WD repeat-containing protein 61) [Cleaved into: Superkiller complex protein 8, N-terminally processed (WD repeat-containing protein 61, N-terminally processed)]"
TUBB4A	0.723	0.038275085	Tubulin beta-4A chain (Tubulin 5 beta) (Tubulin beta-4 chain)
ENAH	0.79	0.034565615	Protein enabled homolog
XPO5	0.76	0.034998203	Exportin-5 (Exp5) (Ran-binding protein 21)
CUTA	0.784	0.039541281	Protein CutA (Acetylcholinesterase-associated protein) (Brain acetylcholinesterase putative membrane anchor)
SNCG	1.322	0.039545148	Gamma-synuclein (Breast cancer-specific gene 1 protein) (Persyn) (Synoretin) (SR)
CDK1	1.234	0.035935776	Cyclin dependent kinase 1
POLR2G	1.268	0.042570263	DNA-directed RNA polymerase II subunit RPB7 (RNA polymerase II subunit B7) (DNA-directed RNA polymerase II subunit G) (RNA polymerase II 19 kDa subunit) (RPB19)
GNAS	0.809	0.036876912	Guanine nucleotide-binding protein G(s) subunit alpha isoforms short (Adenylate cyclase-stimulating G alpha protein)
PRPF3	1.298	0.036988552	U4/U6 small nuclear ribonucleoprotein Prp3 (Pre-mRNA-splicing factor 3) (hPrp3) (U4/U6 snRNP 90 kDa protein)
PDCD5	1.249	0.041701737	Programmed cell death 5
VAV2	0.791	0.041622783	Guanine nucleotide exchange factor VAV2 (VAV-2)
PPP5C	0.764	0.037532639	Serine/threonine-protein phosphatase (EC 3.1.3.16)
ITPA	0.822	0.04338338	Inosine triphosphate pyrophosphatase (ITPase) (Inosine triphosphatase) (EC 3.6.1.9) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase) (Putative oncogene protein hlc14-06-p)
ACIN1	0.666	0.039236108	Apoptotic chromatin condensation inducer 1
EIF3B	0.722	0.039584745	Eukaryotic translation initiation factor 3 subunit B (eIF3b) (Eukaryotic translation initiation factor 3 subunit 9) (Prt1 homolog) (hPrt1) (eIF-3-eta) (eIF3 p110) (eIF3 p116)
PSMD7	0.783	0.039868635	26S proteasome non-ATPase regulatory subunit 7 (26S proteasome regulatory subunit RPN8) (26S proteasome regulatory subunit S12) (Mov34 protein homolog) (Proteasome subunit p40)
SNU13	1.233	0.040144486	"NHP2-like protein 1 (High mobility group-like nuclear protein 2 homolog 1) (OTK27) (SNU13 homolog) (hSNU13) (U4/U6.U5 small nuclear ribonucleoprotein SNU13) (U4/U6.U5 tri-snRNP 15.5 kDa protein) [Cleaved into: NHP2-like protein 1, N-terminally processed]"
PSMB6	1.305	0.041135997	Proteasome subunit beta type-6 (EC 3.4.25.1) (Macropain delta chain) (Multicatalytic endopeptidase complex delta chain) (Proteasome delta chain) (Proteasome subunit Y)
FHL1	1.226	0.041331479	Four and a half LIM domains 1
PPIA	0.787	0.042275275	"Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Cyclosporin A-binding protein) (Rotamase A) [Cleaved into: Peptidyl-prolyl cis-trans isomerase A, N-terminally processed]"
CDV3	1.238	0.042646933	Protein CDV3 homolog
ABHD10	0.733	0.043157872	"Palmitoyl-protein thioesterase ABHD10, mitochondrial (EC 3.1.2.22) (Acyl-protein thioesterase ABHD10) (Alpha/beta hydrolase domain-containing protein 10) (Abhydrolase domain-containing protein 10) (Mycophenolic acid acyl-glucuronide esterase, mitochondrial) (EC 3.1.1.93)"
TLE1	1.226	0.049012438	Transducin-like enhancer protein 1 (E(Sp1) homolog) (Enhancer of split groucho-like protein 1) (ESG1)
H1-4	1.248	0.044189218	Histone H1.4 (Histone H1b) (Histone H1s-4)
USP7	0.554	0.044486261	Ubiquitin carboxyl-terminal hydrolase 7 (EC 3.4.19.12) (Deubiquitinating enzyme 7) (Herpesvirus-associated ubiquitin-specific protease) (Ubiquitin thioesterase 7) (Ubiquitin-specific-processing protease 7)
SRRM2	0.662	0.045641213	Serine/arginine repetitive matrix protein 2 (300 kDa nuclear matrix antigen) (Serine/arginine-rich splicing factor-related nuclear matrix protein of 300 kDa) (SR-related nuclear matrix protein of 300 kDa) (Ser/Arg-related nuclear matrix protein of 300 kDa) (Splicing coactivator subunit SRm300) (Tax-responsive enhancer element-binding protein 803) (TaxREB803)
STOML2	0.777	0.045731866	"Stomatin-like protein 2, mitochondrial (SLP-2) (EPB72-like protein 2) (Paraprotein target 7) (Paratarg-7)"
RO60	0.739	0.046277075	RNA-binding protein RO60 (60 kDa SS-A/Ro ribonucleoprotein) (60 kDa Ro protein) (60 kDa ribonucleoprotein Ro) (RoRNP) (Ro 60 kDa autoantigen) (Ro60 autoantigen) (Sjoegren syndrome antigen A2) (Sjoegren syndrome type A antigen) (SS-A) (TROVE domain family member 2)
NCDN	0.675	0.047874259	Neurochondrin
MTPN	1.238	0.047980246	Myotrophin
PHF5A	1.313	0.048061494	PHD finger-like domain-containing protein 5A (PHD finger-like domain protein 5A) (Splicing factor 3B-associated 14 kDa protein) (SF3b14b)
NR2F1	0.6	0.04808656	COUP transcription factor 1 (COUP-TF1) (COUP transcription factor I) (COUP-TF I) (Nuclear receptor subfamily 2 group F member 1) (V-erbA-related protein 3) (EAR-3)
XRN2	0.723	0.04849331	5'-3' exoribonuclease 2 (EC 3.1.13.-) (DHM1-like protein) (DHP protein)
RPS27A	1.252	0.049021512	Ubiquitin-ribosomal protein eS31 fusion protein (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; Small ribosomal subunit protein eS31 (40S ribosomal protein S27a)]
